p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.84E-40	0.227583732550963	0.158	0.067	1.59E-35	Basal Cells	DELE1
7.91E-40	0.227515557167519	0.199	0.098	2.6E-35	Basal Cells	INO80
3.87E-52	0.227357583493555	0.136	0.044	1.27E-47	Basal Cells	SOWAHC
5.23E-36	0.227268278941186	0.205	0.101	1.72E-31	Basal Cells	TRIP10
5.05E-42	0.227244119392555	0.459	0.303	1.66E-37	Basal Cells	ANK3
6.72E-30	0.226938951524707	0.202	0.11	2.21E-25	Basal Cells	ASXL1
8.42E-49	0.226918954885601	0.439	0.292	2.77E-44	Basal Cells	SLC25A3
6.47E-41	0.226860025104467	0.182	0.084	2.13E-36	Basal Cells	CRKL
3.58E-30	0.226799637955927	0.192	0.101	1.18E-25	Basal Cells	ANKRD10
8.78E-29	0.226770248957625	0.144	0.067	2.89E-24	Basal Cells	THOC1
2.61E-35	0.226487024514066	0.18	0.089	8.58E-31	Basal Cells	PDCD7
2.15E-29	0.226409431286039	0.215	0.122	7.06E-25	Basal Cells	RBM12
3.7E-60	0.226174900014017	0.245	0.12	1.22E-55	Basal Cells	RPL18A
2.9E-42	0.22607335735558	0.491	0.338	9.55E-38	Basal Cells	CSDE1
2.26E-18	0.225641617209242	0.26	0.175	7.43E-14	Basal Cells	DUOXA1
1.25E-31	0.225494873540403	0.135	0.058	4.1E-27	Basal Cells	LY6D
2.1E-25	0.225442054477153	0.238	0.148	6.92E-21	Basal Cells	IP6K2
5.47E-32	0.225215146590067	0.143	0.066	1.8E-27	Basal Cells	RRM1
9.78E-35	0.225049966254523	0.147	0.062	3.21E-30	Basal Cells	LGR4
2.07E-28	0.224604992180293	0.4	0.274	6.79E-24	Basal Cells	NSD3
4.26E-45	0.224479497893542	0.209	0.1	1.4E-40	Basal Cells	ADH5
1.57E-72	0.224389855396069	0.133	0.033	5.16E-68	Basal Cells	PM20D2
3.46E-30	0.224224727648527	0.136	0.061	1.14E-25	Basal Cells	TMEM237
2.52E-15	0.223960903613041	0.124	0.069	8.28E-11	Basal Cells	MDC1
9.2E-47	0.223925261092684	0.134	0.046	3.03E-42	Basal Cells	GRTP1
1.09E-70	0.22376962532419	0.119	0.027	3.59E-66	Basal Cells	SUSD4
1.2E-33	0.223759192070653	0.285	0.171	3.94E-29	Basal Cells	SUPT6H
2.06E-50	0.223662751217745	0.238	0.121	6.78E-46	Basal Cells	EIF2S3
7.8E-44	0.223580790863616	0.478	0.319	2.56E-39	Basal Cells	AES
1.08E-39	0.223465300853999	0.244	0.131	3.56E-35	Basal Cells	ATP7B
2.55E-20	0.223167094751235	0.251	0.168	8.37E-16	Basal Cells	ZNF91
2.03E-23	0.223135009966298	0.152	0.084	6.66E-19	Basal Cells	PTK2B
7.88E-41	0.222979332708943	0.151	0.061	2.59E-36	Basal Cells	LRP6
4.06E-63	0.222795836180834	0.173	0.062	1.33E-58	Basal Cells	RNF207
3.41E-50	0.222615197301774	0.137	0.046	1.12E-45	Basal Cells	UNC5B
3.49E-21	0.22225918574088	0.143	0.078	1.15E-16	Basal Cells	ACAP3
2.53E-39	0.222255485252598	0.407	0.277	8.3E-35	Basal Cells	CNBP
1.84E-27	0.22200651969652	0.148	0.071	6.05E-23	Basal Cells	SCAF4
7.34E-35	0.221962304885467	0.273	0.167	2.41E-30	Basal Cells	TOMM20
2.03E-36	0.221696409027904	0.259	0.15	6.67E-32	Basal Cells	DHX15
7.58E-58	0.221636745241697	0.15	0.052	2.49E-53	Basal Cells	PTK7
3.92E-37	0.22150880610936	0.287	0.172	1.29E-32	Basal Cells	LIMK2
5.81E-33	0.221365544859217	0.236	0.132	1.91E-28	Basal Cells	NR1D2
1.29E-37	0.221342820739684	0.292	0.172	4.23E-33	Basal Cells	SIX1
9.78E-21	0.220489940058576	0.297	0.203	3.22E-16	Basal Cells	ZRANB2
3.86E-21	0.2204147310185	0.179	0.107	1.27E-16	Basal Cells	DIS3L2
5.89E-30	0.220203997838977	0.143	0.063	1.94E-25	Basal Cells	TMEM18
1.65E-37	0.220121713821588	0.155	0.065	5.42E-33	Basal Cells	SSH3
6.66E-103	0.219971929773298	0.412	0.212	2.19E-98	Basal Cells	TPM4
5.57E-28	0.219879091254334	0.471	0.339	1.83E-23	Basal Cells	TPR
2.39E-24	0.219848563052839	0.205	0.123	7.84E-20	Basal Cells	CRYBG3
4.21E-25	0.21952867090933	0.251	0.156	1.39E-20	Basal Cells	EPS8
5.24E-28	0.219474542233035	0.188	0.101	1.72E-23	Basal Cells	SCAPER
1.3E-24	0.219379166488773	0.161	0.086	4.27E-20	Basal Cells	ERICH1
1.38E-27	0.219228045928049	0.355	0.238	4.54E-23	Basal Cells	OS9
4.15E-30	0.219216106715484	0.257	0.153	1.37E-25	Basal Cells	TAF15
2.74E-26	0.219189100808951	0.173	0.091	9E-22	Basal Cells	GIGYF1
6.54E-15	0.218966616879773	0.237	0.166	2.15E-10	Basal Cells	YLPM1
8.62E-97	0.218904884844091	0.117	0.019	2.83E-92	Basal Cells	RERG
3.48E-64	0.218903393835468	0.305	0.16	1.15E-59	Basal Cells	NPM1
8.03E-66	0.218665428665766	0.11	0.023	2.64E-61	Basal Cells	SNHG19
9.82E-29	0.21856987812432	0.253	0.153	3.23E-24	Basal Cells	HERC1
1.2E-66	0.218099289297581	0.223	0.095	3.96E-62	Basal Cells	KREMEN1
4.39E-44	0.218069016615585	0.24	0.126	1.44E-39	Basal Cells	MIB1
1.47E-28	0.217949030716177	0.157	0.079	4.85E-24	Basal Cells	HCFC1
1.9E-47	0.217804702480783	0.424	0.278	6.23E-43	Basal Cells	HNRNPM
3.74E-28	0.217727374472359	0.168	0.087	1.23E-23	Basal Cells	TOLLIP
4.95E-36	0.217726761813416	0.122	0.045	1.63E-31	Basal Cells	ZYX
5.07E-20	0.217721478922608	0.332	0.238	1.67E-15	Basal Cells	ARFGEF1
3.53E-31	0.217659903912396	0.253	0.157	1.16E-26	Basal Cells	VGLL4
1.51E-37	0.216885204057119	0.114	0.039	4.98E-33	Basal Cells	MARK1
5.51E-54	0.216796340407385	0.275	0.145	1.81E-49	Basal Cells	HMGB1
6.82E-21	0.216679705964491	0.132	0.071	2.24E-16	Basal Cells	WWC3
6.58E-33	0.2164970568518	0.294	0.181	2.16E-28	Basal Cells	NOP56
2.16E-36	0.216163179964702	0.173	0.079	7.1E-32	Basal Cells	METTL17
2.29E-24	0.216155498463185	0.174	0.096	7.52E-20	Basal Cells	FAM193B
6.21E-47	0.21601094581646	0.113	0.034	2.04E-42	Basal Cells	PLCD3
4.35E-42	0.216002462973332	0.227	0.115	1.43E-37	Basal Cells	ADI1
2.97E-67	0.21584783308965	0.125	0.032	9.76E-63	Basal Cells	FAM83G
2.49E-29	0.215583145673025	0.277	0.18	8.19E-25	Basal Cells	POLR2A
5.55E-59	0.215356449594759	0.116	0.029	1.83E-54	Basal Cells	SOX15
1.34E-56	0.215249814583871	0.158	0.055	4.4E-52	Basal Cells	PPP1R13L
2.54E-23	0.215198381850989	0.134	0.063	8.35E-19	Basal Cells	ZNF692
5.66E-21	0.215081142121887	0.268	0.177	1.86E-16	Basal Cells	SDF4
9.82E-37	0.215072340342135	0.496	0.346	3.23E-32	Basal Cells	UBXN4
4.54E-28	0.215065320330752	0.317	0.207	1.49E-23	Basal Cells	PTK2
1.53E-35	0.214819146934502	0.345	0.228	5.03E-31	Basal Cells	RAB10
6.32E-28	0.214716761724558	0.284	0.183	2.08E-23	Basal Cells	SAFB
3.85E-30	0.214682468039998	0.177	0.091	1.27E-25	Basal Cells	KHSRP
1.13E-54	0.214514956270373	0.235	0.115	3.72E-50	Basal Cells	TRIM24
3.43E-52	0.214502735782959	0.112	0.03	1.13E-47	Basal Cells	LRRN1
1.07E-28	0.214491172220179	0.242	0.145	3.52E-24	Basal Cells	PARP1
9.97E-40	0.214443801661916	0.14	0.055	3.28E-35	Basal Cells	SLC25A12
6.5E-31	0.214410293969173	0.159	0.078	2.14E-26	Basal Cells	STOX2
1.07E-36	0.21410307370909	0.176	0.083	3.51E-32	Basal Cells	HEXDC
6.05E-27	0.214097196545273	0.153	0.076	1.99E-22	Basal Cells	PKP3
3.23E-25	0.213655037320181	0.258	0.162	1.06E-20	Basal Cells	TJP1
1.19E-27	0.213480271822185	0.188	0.102	3.92E-23	Basal Cells	MT2A
1.57E-31	0.213442735978609	0.287	0.181	5.18E-27	Basal Cells	ZMYM2
1.91E-49	0.213276120270908	0.218	0.106	6.29E-45	Basal Cells	NFKB1
1.16E-41	0.213120634599524	0.135	0.052	3.82E-37	Basal Cells	GNPDA1
1.6E-16	0.213105773584277	0.148	0.087	5.27E-12	Basal Cells	CCDC174
3.24E-33	0.212932429149871	0.368	0.249	1.06E-28	Basal Cells	TPI1
6.01E-40	0.212643378161501	0.335	0.206	1.97E-35	Basal Cells	ARID1B
5.36E-62	0.212337717139488	0.211	0.09	1.76E-57	Basal Cells	ELMSAN1
1.7E-31	0.212272291314624	0.293	0.187	5.6E-27	Basal Cells	KDM5B
3.3E-23	0.212073482401197	0.253	0.164	1.09E-18	Basal Cells	MPHOSPH8
4.86E-49	0.212027730267805	0.28	0.157	1.6E-44	Basal Cells	SLC3A2
4.47E-51	0.211926836645066	0.348	0.217	1.47E-46	Basal Cells	SERBP1
3.59E-33	0.211865004534789	0.235	0.134	1.18E-28	Basal Cells	FAM13B
3.09E-24	0.211332953936962	0.196	0.112	1.02E-19	Basal Cells	SCAF8
3.14E-31	0.21035867782825	0.315	0.201	1.03E-26	Basal Cells	RAD21
5.03E-24	0.210237395134798	0.127	0.061	1.65E-19	Basal Cells	TCEAL8
5.35E-36	0.210044606158772	0.238	0.134	1.76E-31	Basal Cells	TLK1
3.66E-53	0.209999455354449	0.436	0.28	1.2E-48	Basal Cells	NAP1L1
1.62E-37	0.209551109224648	0.132	0.051	5.33E-33	Basal Cells	SERTAD3
6.3E-51	0.209519953243192	0.184	0.078	2.07E-46	Basal Cells	RBP1
5.95E-55	0.208895948955653	0.515	0.342	1.96E-50	Basal Cells	CSNK1A1
3.14E-45	0.208721992267677	0.115	0.034	1.03E-40	Basal Cells	IL20RB
1.71E-38	0.208604101045748	0.297	0.178	5.61E-34	Basal Cells	FLNB
7.48E-29	0.208586634862235	0.37	0.259	2.46E-24	Basal Cells	SETX
1.79E-46	0.208567737185451	0.179	0.079	5.9E-42	Basal Cells	ZNF395
7.74E-43	0.208566182881365	0.42	0.28	2.55E-38	Basal Cells	CCNI
1.76E-49	0.208300141390869	0.161	0.065	5.79E-45	Basal Cells	DDB2
2.1E-34	0.208271349208251	0.125	0.05	6.9E-30	Basal Cells	OLFML2A
4.26E-36	0.208117777379325	0.244	0.139	1.4E-31	Basal Cells	GLUD1
8.09E-17	0.208089863814806	0.135	0.077	2.66E-12	Basal Cells	XPA
1.22E-30	0.208050612014392	0.296	0.185	4E-26	Basal Cells	TET2
1.78E-31	0.207826814574717	0.157	0.075	5.84E-27	Basal Cells	FAM83H
3.97E-36	0.207478129189218	0.286	0.175	1.3E-31	Basal Cells	PPP1CC
6.41E-21	0.207323948510277	0.177	0.103	2.11E-16	Basal Cells	CCDC50
3.54E-21	0.207246832133641	0.322	0.222	1.16E-16	Basal Cells	RALGAPA2
5.44E-37	0.207179660897655	0.159	0.071	1.79E-32	Basal Cells	ZNF146
3.58E-42	0.206767068087849	0.5	0.345	1.18E-37	Basal Cells	HDLBP
8.89E-33	0.206667225077198	0.26	0.156	2.92E-28	Basal Cells	TNRC6A
2.99E-30	0.206661983649762	0.33	0.216	9.82E-26	Basal Cells	TCERG1
3.73E-45	0.206638239763246	0.164	0.068	1.22E-40	Basal Cells	C3orf58
3.16E-24	0.206156438748956	0.151	0.077	1.04E-19	Basal Cells	ZNF480
9.74E-31	0.20613861496234	0.172	0.086	3.2E-26	Basal Cells	FOXJ3
6.14E-27	0.205907686403581	0.225	0.134	2.02E-22	Basal Cells	INSIG1
2.9E-38	0.20574447568932	0.16	0.07	9.52E-34	Basal Cells	KRTCAP3
1.25E-31	0.205654422783003	0.213	0.118	4.1E-27	Basal Cells	TANC1
1.26E-30	0.205390383448527	0.168	0.084	4.15E-26	Basal Cells	R3HDM2
1.08E-30	0.205361807870959	0.114	0.044	3.54E-26	Basal Cells	ZNF512B
3.4E-16	0.205232842333834	0.228	0.158	1.12E-11	Basal Cells	NSRP1
1.96E-22	0.205153903687755	0.282	0.187	6.46E-18	Basal Cells	OXR1
1.31E-25	0.205130275565766	0.228	0.14	4.31E-21	Basal Cells	PABPN1
2.64E-49	0.204986728932204	0.215	0.102	8.67E-45	Basal Cells	CKAP4
2.07E-42	0.204878206779186	0.119	0.039	6.8E-38	Basal Cells	GAS6
9.36E-13	0.204645554379428	0.216	0.154	0.0000000308	Basal Cells	WEE1
8.94E-28	0.204585400408718	0.251	0.157	2.94E-23	Basal Cells	ESRRA
3.55E-28	0.204368378863545	0.279	0.176	1.17E-23	Basal Cells	GIGYF2
1.05E-33	0.204185901539678	0.257	0.151	3.44E-29	Basal Cells	TAB2
3.4E-36	0.204103218588628	0.211	0.114	1.12E-31	Basal Cells	SERTAD2
5.7E-54	0.204060332451242	0.339	0.199	1.87E-49	Basal Cells	YBX1
8.41E-41	0.203873281409163	0.117	0.041	2.76E-36	Basal Cells	LONRF1
8.59E-17	0.203853658567206	0.186	0.115	2.82E-12	Basal Cells	IRF3
1.09E-16	0.203782150717134	0.167	0.101	3.59E-12	Basal Cells	PHF10
2.11E-67	0.20360742785802	0.102	0.021	6.93E-63	Basal Cells	CHST3
4.61E-32	0.203599124358248	0.364	0.252	1.52E-27	Basal Cells	SLC9A3R1
8.17E-21	0.203586535517902	0.151	0.082	2.68E-16	Basal Cells	EHMT2
4.53E-26	0.2033384783619	0.319	0.213	1.49E-21	Basal Cells	CSNK1D
1.53E-19	0.203296940410925	0.158	0.089	5.01E-15	Basal Cells	TMTC2
2.35E-66	0.203222555017672	0.383	0.232	7.73E-62	Basal Cells	RPS27A
1.35E-17	0.20315020060316	0.139	0.08	4.44E-13	Basal Cells	ZBED1
5.86E-19	0.20298976670255	0.145	0.081	1.93E-14	Basal Cells	PARP6
8.75E-25	0.202826499105878	0.183	0.103	2.88E-20	Basal Cells	CLUH
5.01E-31	0.202795666550115	0.442	0.308	1.65E-26	Basal Cells	TMEM123
3.78E-35	0.202780827002079	0.239	0.137	1.24E-30	Basal Cells	GPATCH8
3.64E-29	0.20254770158981	0.21	0.116	1.2E-24	Basal Cells	ARID4A
7.33E-33	0.202134875135505	0.14	0.062	2.41E-28	Basal Cells	NUP93
3.62E-33	0.202087285113025	0.318	0.204	1.19E-28	Basal Cells	CCDC47
1.7E-49	0.201861583533474	0.187	0.083	5.58E-45	Basal Cells	MAPK13
1.91E-39	0.201580316527863	0.135	0.053	6.27E-35	Basal Cells	FLYWCH1
1.58E-26	0.201529122184207	0.292	0.192	5.18E-22	Basal Cells	GRHL2
2.84E-20	0.201357982576648	0.169	0.1	9.34E-16	Basal Cells	SMG6
1.59E-26	0.201030429465701	0.239	0.145	5.23E-22	Basal Cells	H1FX
1.79E-36	0.200821340749349	0.328	0.209	5.87E-32	Basal Cells	WAC
1.14E-22	0.200777847504207	0.103	0.044	3.76E-18	Basal Cells	PLCG1
1.12E-39	0.200602371294715	0.141	0.059	3.69E-35	Basal Cells	EFNB2
2.93E-46	0.20049825498797	0.332	0.204	9.65E-42	Basal Cells	YY1
2.48E-26	0.200475797051794	0.238	0.149	8.16E-22	Basal Cells	NOLC1
5.75E-26	0.200471559835205	0.176	0.095	1.89E-21	Basal Cells	ZBTB10
9.01E-26	0.200396808403634	0.212	0.123	2.96E-21	Basal Cells	APRT
1.18E-66	0.20009730645165	0.118	0.03	3.89E-62	Basal Cells	CLDN10
3.91E-33	0.200030387589579	0.253	0.151	1.29E-28	Basal Cells	ANKIB1
7.47E-27	0.200012180270259	0.321	0.215	2.45E-22	Basal Cells	PUM2
3.75E-31	0.199973975025135	0.315	0.207	1.23E-26	Basal Cells	EIF3D
1.04E-29	0.199945109712177	0.244	0.145	3.41E-25	Basal Cells	IPO7
1.7E-30	0.199624118015219	0.273	0.17	5.59E-26	Basal Cells	ABCF1
2.72E-21	0.199487890361143	0.148	0.078	8.95E-17	Basal Cells	FAN1
2.01E-35	0.199392092512629	0.206	0.107	6.6E-31	Basal Cells	WDR43
3.97E-23	0.199070637191408	0.158	0.085	1.3E-18	Basal Cells	IRF2BPL
7E-32	0.199057217040856	0.208	0.111	2.3E-27	Basal Cells	QKI
3.71E-62	0.198703824172662	0.211	0.091	1.22E-57	Basal Cells	LAPTM4B
7.65E-79	0.198663851502159	0.196	0.072	2.51E-74	Basal Cells	SSH1
1.84E-44	0.198336971288286	0.151	0.059	6.06E-40	Basal Cells	NFIL3
3.75E-24	0.198287692600707	0.198	0.113	1.23E-19	Basal Cells	UBR3
1.42E-27	0.198094501427452	0.192	0.107	4.65E-23	Basal Cells	GALNT2
1.8E-20	0.198060988045562	0.14	0.075	5.93E-16	Basal Cells	PHC2
3.87E-29	0.197993774170243	0.26	0.16	1.27E-24	Basal Cells	SGPL1
6.23E-29	0.197705711154766	0.317	0.207	2.05E-24	Basal Cells	UBR5
1.87E-26	0.197530135542023	0.117	0.052	6.15E-22	Basal Cells	LZTS2
2.44E-23	0.197446426353611	0.274	0.18	8.04E-19	Basal Cells	VPS13A
4.32E-26	0.197384764397286	0.2	0.113	1.42E-21	Basal Cells	AEBP2
3.61E-27	0.197241899662054	0.23	0.138	1.19E-22	Basal Cells	GATAD1
2.71E-18	0.1971356312364	0.266	0.183	8.9E-14	Basal Cells	SFSWAP
6.15E-45	0.197120156541491	0.169	0.072	2.02E-40	Basal Cells	AKAP1
1.69E-34	0.196918296628142	0.111	0.04	5.55E-30	Basal Cells	FZD5
2.77E-25	0.196778211087225	0.207	0.118	9.11E-21	Basal Cells	TCEAL4
1.69E-37	0.196621073808909	0.148	0.063	5.56E-33	Basal Cells	PPFIBP2
4.19E-30	0.196592717563842	0.261	0.163	1.38E-25	Basal Cells	PTP4A1
3.85E-63	0.196461748102384	0.145	0.047	1.27E-58	Basal Cells	GEN1
3.29E-36	0.195858844487158	0.396	0.272	1.08E-31	Basal Cells	2-Sep
8.04E-27	0.195853269420278	0.14	0.068	2.64E-22	Basal Cells	ACVR2A
1.46E-19	0.195793222516972	0.116	0.059	4.79E-15	Basal Cells	ZNF236
3.3E-28	0.19576844503419	0.273	0.175	1.08E-23	Basal Cells	PPP2R2A
4.71E-22	0.195754405756609	0.191	0.11	1.55E-17	Basal Cells	SCRIB
1.98E-23	0.195581152815788	0.194	0.115	6.51E-19	Basal Cells	NCOA1
4.42E-36	0.195421250481837	0.176	0.082	1.45E-31	Basal Cells	FMNL2
4.32E-23	0.195217423560088	0.261	0.168	1.42E-18	Basal Cells	ROCK1
5.54E-47	0.195148271932313	0.126	0.041	1.82E-42	Basal Cells	DEF6
5.23E-59	0.194977128127712	0.137	0.042	1.72E-54	Basal Cells	TRIM7
2.96E-61	0.194615893063267	0.161	0.056	9.75E-57	Basal Cells	FOXK1
1.01E-27	0.194413759937197	0.155	0.08	3.33E-23	Basal Cells	IFFO2
4.17E-18	0.194342586455381	0.227	0.148	1.37E-13	Basal Cells	MDN1
2.01E-34	0.194052265555092	0.232	0.127	6.6E-30	Basal Cells	CYP2S1
7.84E-24	0.194018502174132	0.22	0.136	2.58E-19	Basal Cells	USP1
3.64E-43	0.193850593034483	0.119	0.04	1.2E-38	Basal Cells	INPP5F
1.34E-22	0.193769261722152	0.245	0.156	4.4E-18	Basal Cells	KCNQ1OT1
4.77E-27	0.192940282802537	0.173	0.094	1.57E-22	Basal Cells	XPO6
1.49E-21	0.192913960798048	0.358	0.257	4.91E-17	Basal Cells	TAF7
2.78E-59	0.192707563693721	0.213	0.093	9.12E-55	Basal Cells	TPD52L1
4.89E-20	0.192687317086727	0.302	0.206	1.61E-15	Basal Cells	CDC37
7.29E-20	0.192566813779983	0.171	0.102	2.4E-15	Basal Cells	PDHA1
3.01E-12	0.192561898498567	0.182	0.125	0.000000099	Basal Cells	CREBZF
2.08E-46	0.192544680839935	0.112	0.034	6.85E-42	Basal Cells	DTNB
4.1E-23	0.192270191354275	0.24	0.149	1.35E-18	Basal Cells	CUEDC1
3.57E-43	0.191877825422387	0.514	0.364	1.17E-38	Basal Cells	EIF5
1.39E-28	0.191781570193944	0.378	0.26	4.56E-24	Basal Cells	HSPD1
1.08E-18	0.19178098437457	0.153	0.09	3.54E-14	Basal Cells	GADD45G
1.87E-28	0.191641703159342	0.112	0.045	6.14E-24	Basal Cells	EOGT
0.0000000961	0.191481898503609	0.163	0.127	0.00315857386978331	Basal Cells	LENG8
3.41E-21	0.191279742094979	0.176	0.1	1.12E-16	Basal Cells	RETSAT
1.84E-23	0.191066586251455	0.13	0.063	6.06E-19	Basal Cells	BMPR1B
2.06E-28	0.190854002852891	0.176	0.091	6.76E-24	Basal Cells	CLK4
9.24E-64	0.190703256351015	0.102	0.023	3.04E-59	Basal Cells	TOP1MT
3.13E-26	0.190584713422947	0.213	0.123	1.03E-21	Basal Cells	MYSM1
1.82E-14	0.19053288715575	0.157	0.099	5.97E-10	Basal Cells	CRIM1
1.04E-18	0.190521472610285	0.187	0.114	3.42E-14	Basal Cells	PGRMC2
3.32E-21	0.190351257088807	0.188	0.114	1.09E-16	Basal Cells	PIK3C2A
2.09E-21	0.190113463320958	0.157	0.087	6.87E-17	Basal Cells	SURF6
6.06E-22	0.190073799173938	0.149	0.082	1.99E-17	Basal Cells	FAM53B
2.28E-38	0.189425347645642	0.128	0.052	7.49E-34	Basal Cells	ABCC10
7.96E-29	0.189418874380146	0.247	0.153	2.62E-24	Basal Cells	PPP6R3
1.49E-41	0.189347553878629	0.221	0.113	4.91E-37	Basal Cells	ABR
1.76E-35	0.18917052660776	0.205	0.108	5.78E-31	Basal Cells	CTDSPL2
1.01E-30	0.188459990816889	0.108	0.042	3.31E-26	Basal Cells	FAAH
6.36E-12	0.188321561881685	0.221	0.161	0.000000209	Basal Cells	SMC1A
1.33E-35	0.187955847821943	0.153	0.069	4.36E-31	Basal Cells	LBR
2.98E-32	0.187949226654639	0.121	0.049	9.79E-28	Basal Cells	PLXNA3
2.13E-42	0.187936832718915	0.258	0.152	7.01E-38	Basal Cells	AMD1
9.42E-25	0.187794631251568	0.151	0.076	3.1E-20	Basal Cells	THAP9-AS1
4.23E-60	0.187649958843259	0.205	0.089	1.39E-55	Basal Cells	RPS28
1.99E-18	0.187556959296816	0.193	0.122	6.53E-14	Basal Cells	MAPK14
4.4E-31	0.18749584808908	0.136	0.063	1.45E-26	Basal Cells	LMF2
1.03E-29	0.187490661570777	0.237	0.139	3.39E-25	Basal Cells	UBA6
1.97E-26	0.187251468706905	0.177	0.097	6.46E-22	Basal Cells	ZSWIM6
8.09E-32	0.187115658347597	0.195	0.105	2.66E-27	Basal Cells	SMAD4
1.71E-19	0.187014465875634	0.102	0.049	5.62E-15	Basal Cells	ZNF460
6.52E-27	0.186745481653538	0.206	0.118	2.14E-22	Basal Cells	PCGF3
6.1E-34	0.186726887749709	0.197	0.106	2E-29	Basal Cells	WWTR1
1.39E-32	0.186624444233072	0.304	0.195	4.57E-28	Basal Cells	TOP2B
1.89E-29	0.186450952411082	0.297	0.196	6.22E-25	Basal Cells	DHX9
1.78E-58	0.186445637928176	0.173	0.067	5.84E-54	Basal Cells	ABCC1
6.74E-26	0.186386825157239	0.141	0.069	2.21E-21	Basal Cells	GMPS
9.47E-34	0.186282278985705	0.259	0.154	3.11E-29	Basal Cells	CCDC6
2.17E-26	0.1862640248501	0.208	0.122	7.12E-22	Basal Cells	GNPTAB
5.23E-37	0.18622041565285	0.272	0.158	1.72E-32	Basal Cells	SLC44A2
2.54E-18	0.185770017445686	0.155	0.089	8.36E-14	Basal Cells	WDR70
1.57E-22	0.185751380799687	0.146	0.077	5.15E-18	Basal Cells	PHF21A
1.76E-16	0.185537283080298	0.186	0.117	5.78E-12	Basal Cells	SMURF1
3.69E-34	0.185507433754454	0.145	0.064	1.21E-29	Basal Cells	UHRF2
1.42E-23	0.185383093601777	0.198	0.114	4.68E-19	Basal Cells	EVPL
5.69E-28	0.185383076257801	0.245	0.153	1.87E-23	Basal Cells	ZNF148
4.2E-13	0.18534170480773	0.148	0.09	0.0000000138	Basal Cells	SMARCAD1
6.79E-28	0.185235226634086	0.324	0.217	2.23E-23	Basal Cells	BRWD1
3.86E-18	0.185219454991024	0.186	0.115	1.27E-13	Basal Cells	THOC7
8.4E-25	0.184921459675318	0.334	0.227	2.76E-20	Basal Cells	LONP2
5.88E-17	0.184838952207443	0.214	0.138	1.93E-12	Basal Cells	PAXBP1
3.51E-17	0.18483588031874	0.211	0.137	1.15E-12	Basal Cells	TXLNA
2.07E-46	0.184754704059708	0.174	0.075	6.81E-42	Basal Cells	TCEA3
2.36E-32	0.184622790476102	0.16	0.079	7.76E-28	Basal Cells	FAM98B
1.22E-33	0.184617346231889	0.169	0.083	4.01E-29	Basal Cells	FAM83F
9.94E-27	0.18456118148313	0.172	0.092	3.27E-22	Basal Cells	TRIM28
3.66E-15	0.18452047677238	0.164	0.105	1.2E-10	Basal Cells	XPR1
3.63E-35	0.184028247661729	0.296	0.186	1.19E-30	Basal Cells	PURA
5.65E-32	0.183975470916115	0.16	0.076	1.86E-27	Basal Cells	ZMYM5
1.19E-22	0.183805767711239	0.2	0.12	3.91E-18	Basal Cells	MON2
1.13E-27	0.183545930853805	0.157	0.078	3.71E-23	Basal Cells	PAN2
8.91E-26	0.183522343819174	0.389	0.27	2.93E-21	Basal Cells	EID1
4.81E-42	0.183355317220146	0.157	0.068	1.58E-37	Basal Cells	EPB41L4A-AS1
1.16E-25	0.183018300552735	0.121	0.054	3.83E-21	Basal Cells	GRAMD4
4.06E-22	0.182894069227072	0.209	0.129	1.33E-17	Basal Cells	WDFY3
6.15E-31	0.182776462107728	0.185	0.095	2.02E-26	Basal Cells	IL18
8.07E-25	0.182638001977787	0.128	0.063	2.65E-20	Basal Cells	MCF2L
3.59E-40	0.182630094218804	0.166	0.075	1.18E-35	Basal Cells	FOXP2
1.64E-18	0.182626799135095	0.167	0.1	5.39E-14	Basal Cells	PCMTD2
1.06E-68	0.182620674781986	0.258	0.121	3.5E-64	Basal Cells	SLC26A2
0.0000000807	0.182414923887045	0.465	0.403	0.00265356967745167	Basal Cells	DNAJA1
2.57E-25	0.18224597430246	0.416	0.299	8.44E-21	Basal Cells	PHIP
3.5E-18	0.181911099828485	0.175	0.106	1.15E-13	Basal Cells	MPHOSPH10
1.46E-87	0.18190010510609	0.108	0.02	4.79E-83	Basal Cells	TIMP3
1.11E-25	0.18184571604568	0.141	0.071	3.64E-21	Basal Cells	STEAP2
5.85E-28	0.181765359688407	0.215	0.122	1.92E-23	Basal Cells	TP53I3
4.4E-28	0.181674745975923	0.363	0.248	1.45E-23	Basal Cells	EDF1
1.06E-53	0.181537960016979	0.198	0.085	3.47E-49	Basal Cells	PLS3
4.44E-65	0.181482409832892	0.167	0.059	1.46E-60	Basal Cells	TUBA4A
6.61E-22	0.181228199721152	0.328	0.23	2.17E-17	Basal Cells	DYNC1LI2
3.82E-43	0.180785476299016	0.493	0.335	1.25E-38	Basal Cells	EHF
6.9E-40	0.180336225824735	0.234	0.13	2.27E-35	Basal Cells	GSS
1.4E-15	0.180326948461836	0.183	0.116	4.59E-11	Basal Cells	KRIT1
8.04E-38	0.180296170703825	0.53	0.387	2.64E-33	Basal Cells	FXYD3
7.26E-13	0.180138581795448	0.185	0.126	0.0000000239	Basal Cells	CDC73
6.83E-20	0.180069054938749	0.149	0.084	2.24E-15	Basal Cells	TMEM213
